0.355	-0.23785	-0.23785	-2.9719e-06	4.0127e+24	2e+27	293.74	37487	41264	82.79	1200	-0.11141	-0.12263	-0.00024604	-0.0035663
0.36	-0.2412	-0.2412	-3.0275e-06	4.0132e+24	2e+27	293.76	37128	41258	82.79	1200	-0.11241	-0.12491	-0.00025065	-0.003633
0.365	-0.24455	-0.24455	-3.0834e-06	4.0137e+24	2e+27	293.79	36775	41253	82.79	1200	-0.11339	-0.1272	-0.00025527	-0.0037001
0.37	-0.2479	-0.2479	-3.1396e-06	4.0143e+24	2e+27	293.81	36430	41248	82.79	1200	-0.11437	-0.1295	-0.00025992	-0.0037675
0.375	-0.25125	-0.25125	-3.1959e-06	4.0148e+24	2e+27	293.84	36091	41242	82.79	1200	-0.11534	-0.13181	-0.00026459	-0.0038351
0.38	-0.2546	-0.2546	-3.2526e-06	4.0154e+24	2e+27	293.86	35758	41236	82.79	1200	-0.1163	-0.13412	-0.00026928	-0.0039031
0.385	-0.25795	-0.25795	-3.3094e-06	4.016e+24	2e+27	293.89	35431	41230	82.79	1200	-0.11726	-0.13645	-0.00027399	-0.0039713
0.39	-0.2613	-0.2613	-3.3665e-06	4.0166e+24	2e+27	293.92	35110	41224	82.79	1200	-0.1182	-0.13878	-0.00027871	-0.0040399
0.395	-0.26465	-0.26465	-3.4239e-06	4.0172e+24	2e+27	293.95	34795	41218	82.79	1200	-0.11913	-0.14112	-0.00028346	-0.0041087
0.4	-0.268	-0.268	-3.4815e-06	4.0178e+24	2e+27	293.97	34485	41211	82.79	1200	-0.12006	-0.14348	-0.00028823	-0.0041778
0.405	-0.27135	-0.27135	-3.5393e-06	4.0185e+24	2e+27	294	34181	41204	82.79	1200	-0.12098	-0.14583	-0.00029302	-0.0042472
0.41	-0.2747	-0.2747	-3.5974e-06	4.0192e+24	2e+27	294.03	33882	41197	82.79	1200	-0.12188	-0.1482	-0.00029782	-0.0043168
0.415	-0.27805	-0.27805	-3.6556e-06	4.0199e+24	2e+27	294.06	33588	41190	82.79	1200	-0.12278	-0.15058	-0.00030265	-0.0043868
0.42	-0.2814	-0.2814	-3.7142e-06	4.0206e+24	2e+27	294.09	33298	41183	82.79	1200	-0.12368	-0.15296	-0.00030749	-0.004457
0.425	-0.28475	-0.28475	-3.7729e-06	4.0214e+24	2e+27	294.12	33014	41175	82.79	1200	-0.12456	-0.15535	-0.00031236	-0.0045275
0.43	-0.2881	-0.2881	-3.8319e-06	4.0221e+24	2e+27	294.15	32734	41167	82.79	1200	-0.12544	-0.15775	-0.00031724	-0.0045983
0.435	-0.29145	-0.29145	-3.8911e-06	4.0229e+24	2e+27	294.18	32459	41159	82.79	1200	-0.1263	-0.16016	-0.00032215	-0.0046694
0.44	-0.2948	-0.2948	-3.9506e-06	4.0237e+24	2e+27	294.21	32188	41151	82.79	1200	-0.12716	-0.16257	-0.00032707	-0.0047407
0.445	-0.29815	-0.29815	-4.0103e-06	4.0246e+24	2e+27	294.25	31922	41142	82.79	1200	-0.12801	-0.16499	-0.00033201	-0.0048123
0.45	-0.3015	-0.3015	-4.0702e-06	4.0255e+24	2e+27	294.28	31659	41133	82.79	1200	-0.12886	-0.16742	-0.00033697	-0.0048843
